province,year,batch_section,batch,subject_group,line_type,lowest_score,source_url
四川,2026,本科批次,本科,历史类,总分,455,https://www.sceea.cn/Html/202606/Newsdetail_4853.html
四川,2026,高职专科批次,专科,历史类,总分,150,https://www.sceea.cn/Html/202606/Newsdetail_4853.html
四川,2026,特殊类型招生,提前,历史类,总分,525,https://www.sceea.cn/Html/202606/Newsdetail_4853.html
四川,2026,本科批次,本科,物理类,总分,435,https://www.sceea.cn/Html/202606/Newsdetail_4853.html
四川,2026,高职专科批次,专科,物理类,总分,150,https://www.sceea.cn/Html/202606/Newsdetail_4853.html
四川,2026,特殊类型招生,提前,物理类,总分,519,https://www.sceea.cn/Html/202606/Newsdetail_4853.html
安徽,2026,本科院校,本科,历史类,总分,490,https://www.ahzsks.cn/ggl/8995.htm
安徽,2026,本科院校,本科,物理类,总分,451,https://www.ahzsks.cn/ggl/8995.htm
安徽,2026,特殊类型招生,特控线,历史类,总分,522,https://www.ahzsks.cn/ggl/8995.htm
安徽,2026,特殊类型招生,特控线,物理类,总分,514,https://www.ahzsks.cn/ggl/8995.htm
广东,2026,本科院校,本科,音乐类（含音乐教育、音乐表演）,专业省统考,190,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校,本科,舞蹈类,专业省统考,200,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校,本科,表（导）演类（戏剧影视表演）,专业省统考,220,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校,本科,表（导）演类（戏剧影视导演）,专业省统考,233,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校,本科,表（导）演类（服装表演）,专业省统考,215,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校,本科,播音与主持类（含粤语）,专业省统考,208,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校,本科,书法类,专业省统考,220,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校,本科,戏曲类,文化科总分,220,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校,地方专项,历史类,总分,516,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校,地方专项,物理类,总分,509,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,专科院校,专科,历史类,总分,200,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,专科院校,专科,物理类,总分,200,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,专科院校,专科,体育类,专业省统考,190,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,专科院校,专科,音乐类（含音乐教育、音乐表演）,专业省统考,150,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,专科院校,专科,舞蹈类,专业省统考,150,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,专科院校,专科,表（导）演类（含戏剧影视表演、服装表演、戏剧影视导演）,专业省统考,210,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,专科院校,专科,播音与主持类（含粤语）,专业省统考,200,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,专科院校,专科,美术与设计类,专业省统考,150,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,专科院校,专科,书法类,专业省统考,205,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,专科院校,专科,戏曲类,文化科总分,190,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,军队本科院校,军队本科,历史类,总分,546,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,军队本科院校,军队本科,物理类,总分,468,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,中国消防救援学院,消防本科,历史类,总分,546,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,中国消防救援学院,消防本科,物理类,总分,539,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校订单定向培养农村教师人才,本科,体育类,专业省统考,200,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校订单定向培养农村教师人才,本科,音乐类（音乐教育）,专业省统考,190,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校订单定向培养农村教师人才,本科,美术与设计类,专业省统考,185,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,订单定向培养农村卫生人才,卫生专项,历史类,总分,420,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,订单定向培养农村卫生人才,卫生专项,物理类,总分,405,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校少数民族班,本科,历史类,总分,400,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,本科院校少数民族班,本科,物理类,总分,385,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,预科班,预科班,历史类,总分,380,https://eea.gd.gov.cn/news/content/post_4915291.html
广东,2026,预科班,预科班,物理类,总分,365,https://eea.gd.gov.cn/news/content/post_4915291.html
江西,2026,专科院校,专科,三校生类,总分,220,http://www.jxeea.cn/jxsjyksy/gzdt38/pc/content/content_2069974603030765568.html
江西,2026,专科院校,专科,历史类,总分,220,http://www.jxeea.cn/jxsjyksy/gzdt38/pc/content/content_2069974603030765568.html
江西,2026,专科院校,专科,物理类,总分,200,http://www.jxeea.cn/jxsjyksy/gzdt38/pc/content/content_2069974603030765568.html
江西,2026,本科院校,本科,三校生类,总分,448,http://www.jxeea.cn/jxsjyksy/gzdt38/pc/content/content_2069974603030765568.html
江西,2026,本科院校,本科,历史类,总分,479,http://www.jxeea.cn/jxsjyksy/gzdt38/pc/content/content_2069974603030765568.html
江西,2026,本科院校,本科,物理类,总分,412,http://www.jxeea.cn/jxsjyksy/gzdt38/pc/content/content_2069974603030765568.html
江西,2026,特殊类型招生,特控线,历史类,总分,535,http://www.jxeea.cn/jxsjyksy/gzdt38/pc/content/content_2069974603030765568.html
江西,2026,特殊类型招生,特控线,物理类,总分,505,http://www.jxeea.cn/jxsjyksy/gzdt38/pc/content/content_2069974603030765568.html
河北,2026,本科院校,本科,历史类,总分,485,https://www.hebeea.edu.cn/c/2026-06-24/493121.html
河北,2026,本科院校,本科,物理类,总分,443,https://www.hebeea.edu.cn/c/2026-06-24/493121.html
河北,2026,专科院校,专科,历史类,总分,200,https://www.hebeea.edu.cn/c/2026-06-24/493121.html
河北,2026,专科院校,专科,物理类,总分,200,https://www.hebeea.edu.cn/c/2026-06-24/493121.html
河北,2026,特殊类型招生,特招线,历史类,总分,542,https://www.hebeea.edu.cn/c/2026-06-24/493121.html
河北,2026,特殊类型招生,特招线,物理类,总分,510,https://www.hebeea.edu.cn/c/2026-06-24/493121.html
河南,2026,普通本科批,本科,历史类,总分,459,https://m.henan.gov.cn/2026/06-25/3368880.html
河南,2026,普通本科批,本科,物理类,总分,419,https://m.henan.gov.cn/2026/06-25/3368880.html
河南,2026,特殊类型招生,特控线,历史类,总分,534,https://m.henan.gov.cn/2026/06-25/3368880.html
河南,2026,特殊类型招生,特控线,物理类,总分,513,https://m.henan.gov.cn/2026/06-25/3368880.html
河南,2026,普通高职(专科)批,专科,历史类,总分,179,https://m.henan.gov.cn/2026/06-25/3368880.html
河南,2026,普通高职(专科)批,专科,物理类,总分,179,https://m.henan.gov.cn/2026/06-25/3368880.html
