province,year,batch_section,batch,subject_group,line_type,lowest_score,source_url
四川,2025,本科批次,本科,历史类,总分,467,https://www.sceea.cn/Html/202506/Newsdetail_4332.html
四川,2025,高职专科批次,专科,历史类,总分,150,https://www.sceea.cn/Html/202506/Newsdetail_4332.html
四川,2025,特殊类型招生,提前,历史类,总分,533,https://www.sceea.cn/Html/202506/Newsdetail_4332.html
四川,2025,本科批次,本科,物理类,总分,438,https://www.sceea.cn/Html/202506/Newsdetail_4332.html
四川,2025,高职专科批次,专科,物理类,总分,150,https://www.sceea.cn/Html/202506/Newsdetail_4332.html
四川,2025,特殊类型招生,提前,物理类,总分,518,https://www.sceea.cn/Html/202506/Newsdetail_4332.html
安徽,2025,本科院校,本科,历史类,总分,477,https://www.ahzsks.cn/ggl/8357.htm
安徽,2025,本科院校,本科,物理类,总分,461,https://www.ahzsks.cn/ggl/8357.htm
安徽,2025,特殊类型招生,特控线,历史类,总分,515,https://www.ahzsks.cn/ggl/8357.htm
安徽,2025,特殊类型招生,特控线,物理类,总分,514,https://www.ahzsks.cn/ggl/8357.htm
广东,2025,本科,本科,历史类,总分,464,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,本科,本科,物理类,总分,436,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,本科,本科,体育类,专业省统考,210,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,本科,本科,音乐类,专业省统考,185,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,本科,本科,舞蹈类,专业省统考,198,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,本科,本科,表,专业省统考,220,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,本科,本科,播音与主持类,专业省统考,210,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,本科,本科,美术与设计类,专业省统考,185,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,本科,本科,书法类,专业省统考,220,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,本科,本科,戏曲类,文化科总分,220,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,特控线,特控线,历史类,总分,557,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,特控线,特控线,物理类,总分,534,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,地方专项,地方专项,历史类,总分,527,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,地方专项,地方专项,物理类,总分,504,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,专科,专科,历史类,总分,215,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,专科,专科,物理类,总分,200,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,专科,专科,体育类,专业省统考,200,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,专科,专科,音乐类,专业省统考,150,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,专科,专科,舞蹈类,专业省统考,150,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,专科,专科,表,专业省统考,205,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,专科,专科,播音与主持类,专业省统考,205,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,专科,专科,美术与设计类,专业省统考,150,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,专科,专科,书法类,专业省统考,210,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,专科,专科,戏曲类,文化科总分,190,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,军队本科,军队本科,历史类,总分,557,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,军队本科,军队本科,物理类,总分,534,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,消防本科,消防本科,物理类,总分,534,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,教师专项,教师专项,历史类,总分,487,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,教师专项,教师专项,物理类,总分,465,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,教师专项,教师专项,体育类,专业省统考,210,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,教师专项,教师专项,音乐类,专业省统考,185,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,教师专项,教师专项,美术与设计类,专业省统考,185,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,卫生专项(本科),卫生专项(本科),历史类,总分,537,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,卫生专项(本科),卫生专项(本科),物理类,总分,465,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,卫生专项(专科),卫生专项(专科),历史类,总分,444,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,卫生专项(专科),卫生专项(专科),物理类,总分,416,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,少数民族班,少数民族班,历史类,总分,424,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,少数民族班,少数民族班,物理类,总分,396,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,预科班,预科班,历史类,总分,404,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
广东,2025,预科班,预科班,物理类,总分,376,https://eea.gd.gov.cn/gkmlpt/content/4/4733/mpost_4733327.html
江西,2025,专科院校,专科,三校生类,总分,240,http://www.jxeea.cn/jxsjyksy/tzgg92/content/content_1938096604994179072.html
江西,2025,专科院校,专科,历史类,总分,290,http://www.jxeea.cn/jxsjyksy/tzgg92/content/content_1938096604994179072.html
江西,2025,专科院校,专科,物理类,总分,240,http://www.jxeea.cn/jxsjyksy/tzgg92/content/content_1938096604994179072.html
江西,2025,本科院校,本科,三校生类,总分,510,http://www.jxeea.cn/jxsjyksy/tzgg92/content/content_1938096604994179072.html
江西,2025,本科院校,本科,历史类,总分,486,http://www.jxeea.cn/jxsjyksy/tzgg92/content/content_1938096604994179072.html
江西,2025,本科院校,本科,物理类,总分,429,http://www.jxeea.cn/jxsjyksy/tzgg92/content/content_1938096604994179072.html
江西,2025,特殊类型招生,特控线,历史类,总分,539,http://www.jxeea.cn/jxsjyksy/tzgg92/content/content_1938096604994179072.html
江西,2025,特殊类型招生,特控线,物理类,总分,505,http://www.jxeea.cn/jxsjyksy/tzgg92/content/content_1938096604994179072.html
河北,2025,本科院校,本科,历史类,总分,477,https://www.hebeea.edu.cn/c/2025-06-24/488635.html
河北,2025,本科院校,本科,物理类,总分,459,https://www.hebeea.edu.cn/c/2025-06-24/488635.html
河北,2025,专科院校,专科,历史类,总分,200,https://www.hebeea.edu.cn/c/2025-06-24/488635.html
河北,2025,专科院校,专科,物理类,总分,200,https://www.hebeea.edu.cn/c/2025-06-24/488635.html
河北,2025,特殊类型招生,特招线,历史类,总分,527,https://www.hebeea.edu.cn/c/2025-06-24/488635.html
河北,2025,特殊类型招生,特招线,物理类,总分,499,https://www.hebeea.edu.cn/c/2025-06-24/488635.html
河南,2025,特殊类型招生,特控线,历史类,总分,552,https://m.henan.gov.cn/2025/06-25/3173563.html
河南,2025,特殊类型招生,特控线,物理类,总分,535,https://m.henan.gov.cn/2025/06-25/3173563.html
河南,2025,普通本科批,本科,历史类,总分,471,https://m.henan.gov.cn/2025/06-25/3173563.html
河南,2025,普通本科批,本科,物理类,总分,427,https://m.henan.gov.cn/2025/06-25/3173563.html
河南,2025,普通高职(专科)批,专科,历史类,总分,185,https://m.henan.gov.cn/2025/06-25/3173563.html
河南,2025,普通高职(专科)批,专科,物理类,总分,185,https://m.henan.gov.cn/2025/06-25/3173563.html
湖南,2025,本科院校,本科,历史类,总分,446,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,本科院校,本科,物理类,总分,405,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,特殊类型招生,特控线,历史类,总分,503,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,特殊类型招生,特控线,物理类,总分,476,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,专科院校,专科,历史类,总分,200,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,专科院校,专科,物理类,总分,200,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,本科院校,本科,体育类(历史),专业省统考,259,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,本科院校,本科,体育类(物理),专业省统考,259,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,本科院校,本科,音乐类,专业省统考,205,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,本科院校,本科,舞蹈类,专业省统考,175,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,本科院校,本科,播音与主持类,专业省统考,188,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,本科院校,本科,美术与设计类,专业省统考,200,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,本科院校,本科,书法类,专业省统考,222,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,本科院校,本科,表(导)演类(服装表演),专业省统考,218,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,本科院校,本科,表(导)演类(戏剧表演),专业省统考,230,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,本科院校,本科,表(导)演类(戏剧影视导演),专业省统考,235,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,专科院校,专科,艺术类,专业省统考,155,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
湖南,2025,专科院校,专科,体育类,专业省统考,155,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/web/ksyzkzx/202506/t20250624_33698897.html
甘肃,2025,本科,本科,物理类,总分,374,https://www.ganseea.cn/shouyegonggao/
甘肃,2025,特控线,特控线,物理类,总分,475,https://www.ganseea.cn/shouyegonggao/
甘肃,2025,专科,专科,物理类,总分,180,https://www.ganseea.cn/shouyegonggao/
甘肃,2025,本科,本科,历史类,总分,412,https://www.ganseea.cn/shouyegonggao/
甘肃,2025,特控线,特控线,历史类,总分,500,https://www.ganseea.cn/shouyegonggao/
甘肃,2025,专科,专科,历史类,总分,160,https://www.ganseea.cn/shouyegonggao/
福建,2025,本科院校,本科,物理类,总分,441,http://www.eeafj.cn/gkptgkgsgg/20250624/14072.html
福建,2025,专科院校,专科,物理类,总分,235,http://www.eeafj.cn/gkptgkgsgg/20250624/14072.html
福建,2025,特殊类型招生,提前,物理类,总分,520,http://www.eeafj.cn/gkptgkgsgg/20250624/14072.html
福建,2025,本科院校,本科,历史类,总分,450,http://www.eeafj.cn/gkptgkgsgg/20250624/14072.html
福建,2025,专科院校,专科,历史类,总分,235,http://www.eeafj.cn/gkptgkgsgg/20250624/14072.html
福建,2025,特殊类型招生,提前,历史类,总分,531,http://www.eeafj.cn/gkptgkgsgg/20250624/14072.html
辽宁,2025,特殊类型招生,特控线,历史类,总分,522,https://www.lnzsks.com/newsinfo/IMS_20250624_44984_IBfYRUieb1.htm
辽宁,2025,本科院校,本科,历史类,总分,437,https://www.lnzsks.com/newsinfo/IMS_20250624_44984_IBfYRUieb1.htm
辽宁,2025,专科院校,专科,历史类,总分,150,https://www.lnzsks.com/newsinfo/IMS_20250624_44984_IBfYRUieb1.htm
辽宁,2025,特殊类型招生,特控线,物理类,总分,515,https://www.lnzsks.com/newsinfo/IMS_20250624_44984_IBfYRUieb1.htm
辽宁,2025,本科院校,本科,物理类,总分,367,https://www.lnzsks.com/newsinfo/IMS_20250624_44984_IBfYRUieb1.htm
辽宁,2025,专科院校,专科,物理类,总分,150,https://www.lnzsks.com/newsinfo/IMS_20250624_44984_IBfYRUieb1.htm
辽宁,2025,本科院校,本科,艺术类(历史),文化课总分,327,https://www.lnzsks.com/newsinfo/IMS_20250624_44984_IBfYRUieb1.htm
辽宁,2025,本科院校,本科,艺术类(物理),文化课总分,275,https://www.lnzsks.com/newsinfo/IMS_20250624_44984_IBfYRUieb1.htm
辽宁,2025,本专科,本专科,体育类(历史),文化课总分,150,https://www.lnzsks.com/newsinfo/IMS_20250624_44984_IBfYRUieb1.htm
辽宁,2025,本专科,本专科,体育类(物理),文化课总分,150,https://www.lnzsks.com/newsinfo/IMS_20250624_44984_IBfYRUieb1.htm
重庆,2025,普通类,本科批,历史类,总分,438,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,普通类,本科批,物理类,总分,425,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,艺术类,本科批,美术与设计类,专业分数线,190,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,艺术类,本科批,音乐教育,专业分数线,185,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,艺术类,本科批,音乐表演(声乐),专业分数线,180,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,艺术类,本科批,音乐表演(器乐),专业分数线,180,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,艺术类,本科批,舞蹈类,专业分数线,190,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,艺术类,本科批,戏剧影视表演,专业分数线,195,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,艺术类,本科批,服装表演,专业分数线,200,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,艺术类,本科批,戏剧影视导演,专业分数线,200,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,艺术类,本科批,播音与主持类,专业分数线,180,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,艺术类,本科批,书法类,专业分数线,200,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
重庆,2025,体育类,本科批,体育类,专业分数线,73,https://www.cqksy.cn/h5/article/2025-06/24/content_6644.html
陕西,2025,本科批次,本科,历史类,总分,414,https://www.sneac.com/info/1019/18384.htm
陕西,2025,本科批次,本科,物理类,总分,394,https://www.sneac.com/info/1019/18384.htm
陕西,2025,特殊类型,特控线,历史类,总分,497,https://www.sneac.com/info/1019/18384.htm
陕西,2025,特殊类型,特控线,物理类,总分,473,https://www.sneac.com/info/1019/18384.htm
陕西,2025,高职（专科）,专科,历史类,总分,200,https://www.sneac.com/info/1019/18384.htm
陕西,2025,高职（专科）,专科,物理类,总分,200,https://www.sneac.com/info/1019/18384.htm
