province,subject_group,batch,university_code,university_name,group_code,major_code,major_name,plan_count,tuition,lowest_score_2024,lowest_rank_2024,school_type
广东,历史类,本科批,10304,南通大学,201,201_001,南通大学组201,7,6000,535.0,20337.0,普通本科
广东,历史类,本科批,10304,南通大学,202,202_001,南通大学组202,2,6000,531.0,22199.0,普通本科
广东,历史类,本科批,10304,南通大学,203,203_001,南通大学组203,2,6000,530.0,0.0,普通本科
广东,历史类,本科批,10304,省南通大学,204,204_001,省南通大学组204,2,6000,542.0,17544.0,普通本科
广东,历史类,本科批,10307,南京农业大学,201,201_001,南京农业大学组201,11,6000,574.0,7618.0,211
广东,历史类,本科批,10312,东南京医科大学,201,201_001,东南京医科大学组201,1,6000,562.0,0.0,985
广东,历史类,本科批,10316,中国药科大学,201,201_001,中国药科大学组201,4,6000,578.0,6823.0,211
广东,历史类,本科批,10319,南京师范大学,201,201_001,南京师范大学组201,7,6000,588.0,4714.0,211
广东,历史类,本科批,10320,江苏师范大学,202,202_001,江苏师范大学组202,2,6000,526.0,24790.0,普通本科
广东,历史类,本科批,10320,江苏师范大学,203,203_001,江苏师范大学组203,2,6000,528.0,23521.0,普通本科
广东,历史类,本科批,10324,盐城师范学院,201,201_001,盐城师范学院组201,2,6000,533.0,21455.0,普通本科
广东,历史类,本科批,10327,南京财经大学,203,203_001,南京财经大学组203,19,6000,541.0,18216.0,普通本科
广东,历史类,本科批,10331,南京艺术学院,201,201_001,南京艺术学院组201,6,6000,527.0,23946.0,普通本科
广东,历史类,本科批,10332,苏州科技大学,201,201_001,苏州科技大学组201,8,6000,531.0,22286.0,211
广东,历史类,本科批,10335,浙江大学,201,201_001,浙江大学组201,38,6000,640.0,271.0,985
广东,历史类,本科批,10336,杭州电子科技大学,201,201_001,杭州电子科技大学组201,0,6000,536.0,20061.0,985
广东,历史类,本科批,10338,浙江理工大学,201,201_001,浙江理工大学组201,11,6000,535.0,20628.0,普通本科
广东,历史类,本科批,10341,浙江农林大学,201,201_001,浙江农林大学组201,8,6000,527.0,24122.0,普通本科
广东,历史类,本科批,10344,浙江中医药大学,201,201_001,浙江中医药大学组201,1,6000,530.0,22785.0,普通本科
广东,历史类,本科批,10344,浙江中医药大学,202,202_001,浙江中医药大学组202,2,6000,529.0,23362.0,普通本科
广东,历史类,本科批,10344,浙江中医药大学,203,203_001,浙江中医药大学组203,2,6000,507.0,34634.0,普通本科
广东,历史类,本科批,10345,浙江师范大学,201,201_001,浙江师范大学组201,11,6000,536.0,20091.0,普通本科
广东,历史类,本科批,10345,浙江师范大学,202,202_001,浙江师范大学组202,7,6000,518.0,28517.0,普通本科
广东,历史类,本科批,10345,浙江师范大学,203,203_001,浙江师范大学组203,2,6000,544.0,17029.0,普通本科
广东,历史类,本科批,10345,浙江师范大学,204,204_001,浙江师范大学组204,2,6000,573.0,7792.0,普通本科
广东,历史类,本科批,10345,浙江师范大学(中外合作办学),205,205_001,浙江师范大学(中外合作办学)组205,5,6000,529.0,22918.0,普通本科
广东,历史类,本科批,10346,杭州师范大学,201,201_001,杭州师范大学组201,5,6000,534.0,20819.0,普通本科
广东,历史类,本科批,10347,湖州师范学院,201,201_001,湖州师范学院组201,2,6000,524.0,25440.0,普通本科
广东,历史类,本科批,10349,绍兴文理学院,201,201_001,绍兴文理学院组201,5,6000,508.0,33875.0,普通本科
