province,subject_group,batch,university_code,university_name,group_code,major_code,major_name,plan_count,tuition,lowest_score_2025,lowest_rank_2025,school_type
广东,物理类,本科批,10001,北京大学,206,206_001,北京大学组206,34,6000,689.0,99.0,985
广东,物理类,本科批,10002,中国人民大学,206,206_001,中国人民大学组206,3,6000,679.0,388.0,985
广东,物理类,本科批,10002,中国人民大学,207,207_001,中国人民大学组207,39,6000,672.0,823.0,985
广东,物理类,本科批,10003,清华大学,204,204_001,清华大学组204,67,6000,688.0,118.0,985
广东,物理类,本科批,10004,北京交通大学,208,208_001,北京交通大学组208,90,6000,620.0,13967.0,211
广东,物理类,本科批,10004,北京交通大学(中外合作办学),209,209_001,北京交通大学(中外合作办学)组209,5,6000,613.0,18152.0,211
广东,物理类,本科批,10004,北京交通大学(中外合作办学),210,210_001,北京交通大学(中外合作办学)组210,3,6000,611.0,19398.0,211
广东,物理类,本科批,10004,北京交通大学(中外合作办学),211,211_001,北京交通大学(中外合作办学)组211,2,6000,617.0,15604.0,211
广东,物理类,本科批,10004,北京交通大学,212,212_001,北京交通大学组212,2,6000,637.0,7166.0,211
广东,物理类,本科批,10004,北京交通大学,213,213_001,北京交通大学组213,5,6000,633.0,8612.0,211
广东,物理类,本科批,10005,北京工业大学,205,205_001,北京工业大学组205,13,6000,603.0,24588.0,普通本科
广东,物理类,本科批,10006,北京航空航天大学(中外合作办学),210,210_001,北京航空航天大学(中外合作办学)组210,12,6000,646.0,4469.0,985
广东,物理类,本科批,10007,北京理工大学,205,205_001,北京理工大学组205,42,6000,666.0,1331.0,985
广东,物理类,本科批,10007,北京理工大学(中外合作办学),206,206_001,北京理工大学(中外合作办学)组206,28,6000,632.0,8848.0,985
广东,物理类,本科批,10008,北京科技大学,212,212_001,北京科技大学组212,6,6000,620.0,14161.0,211
广东,物理类,本科批,10008,北京科技大学,213,213_001,北京科技大学组213,22,6000,619.0,14686.0,211
广东,物理类,本科批,10008,北京科技大学,214,214_001,北京科技大学组214,37,6000,616.0,16299.0,211
广东,物理类,本科批,10010,北京化工大学,208,208_001,北京化工大学组208,0,6000,609.0,20291.0,普通本科
广东,物理类,本科批,10010,北京化工大学,209,209_001,北京化工大学组209,45,6000,607.0,22003.0,普通本科
广东,物理类,本科批,10010,北京化工大学(中外合作办学),210,210_001,北京化工大学(中外合作办学)组210,7,6000,593.0,32547.0,普通本科
广东,物理类,本科批,10010,北京化工大学(中外合作办学),211,211_001,北京化工大学(中外合作办学)组211,12,6000,593.0,32317.0,普通本科
广东,物理类,本科批,10010,北京化工大学,212,212_001,北京化工大学组212,10,6000,612.0,18238.0,普通本科
广东,物理类,本科批,10011,北京工商大学,204,204_001,北京工商大学组204,11,6000,566.0,60388.0,普通本科
广东,物理类,本科批,10011,北京工商大学,205,205_001,北京工商大学组205,16,6000,558.0,70089.0,普通本科
广东,物理类,本科批,10012,北京服装学院,207,207_001,北京服装学院组207,1,6000,535.0,104603.0,普通本科
广东,物理类,本科批,10012,教北京服装学院,208,208_001,教北京服装学院组208,4,6000,533.0,106555.0,普通本科
广东,物理类,本科批,10012,北京服装学院,209,209_001,北京服装学院组209,6,6000,534.0,105856.0,普通本科
广东,物理类,本科批,10013,北京邮电大学,204,204_001,北京邮电大学组204,113,6000,635.0,7767.0,211
广东,物理类,本科批,10013,北京邮电大学(中外合作办学),205,205_001,北京邮电大学(中外合作办学)组205,31,6000,620.0,13955.0,211
广东,物理类,本科批,10013,省北京邮电大学,206,206_001,省北京邮电大学组206,8,6000,657.0,2398.0,211
广东,物理类,本科批,10013,北京邮电大学(中外合作办学),207,207_001,北京邮电大学(中外合作办学)组207,18,6000,612.0,18564.0,211
广东,物理类,本科批,10015,北京印刷学院,206,206_001,北京印刷学院组206,1,6000,552.0,77981.0,普通本科
广东,物理类,本科批,10015,北京印刷学院,207,207_001,北京印刷学院组207,5,6000,543.0,91448.0,普通本科
广东,物理类,本科批,10016,东北京建筑大学,203,203_001,东北京建筑大学组203,2,6000,574.0,50596.0,985
广东,物理类,本科批,10016,北京建筑大学,204,204_001,北京建筑大学组204,6,6000,557.0,71141.0,普通本科
广东,物理类,本科批,10017,北京石油化工学院,203,203_001,北京石油化工学院组203,3,6000,548.0,83886.0,普通本科
广东,物理类,本科批,10017,北京石油化工学院,204,204_001,北京石油化工学院组204,6,6000,552.0,78351.0,普通本科
广东,物理类,本科批,10019,广中国农业大学(中外合作办学),207,207_001,广中国农业大学(中外合作办学)组207,5,6000,604.0,23636.0,985
广东,物理类,本科批,10019,中国农业大学,208,208_001,中国农业大学组208,7,6000,614.0,17428.0,985
广东,物理类,本科批,10019,中国农业大学,210,210_001,中国农业大学组210,71,6000,618.0,14948.0,985
广东,物理类,本科批,10022,北京林业大学,226,226_001,北京林业大学组226,18,6000,590.0,35094.0,普通本科
广东,物理类,本科批,10022,北京林业大学,227,227_001,北京林业大学组227,9,6000,587.0,37298.0,普通本科
广东,物理类,本科批,10022,北京林业大学,230,230_001,北京林业大学组230,5,6000,593.0,31810.0,普通本科
广东,物理类,本科批,10022,北京林业大学,231,231_001,北京林业大学组231,9,6000,587.0,37411.0,普通本科
广东,物理类,本科批,10022,北京林业大学,233,233_001,北京林业大学组233,17,6000,585.0,39242.0,普通本科
广东,物理类,本科批,10022,北京林业大学,234,234_001,北京林业大学组234,30,6000,599.0,27312.0,普通本科
广东,物理类,本科批,10022,北京林业大学(中外合作办学),235,235_001,北京林业大学(中外合作办学)组235,5,6000,574.0,50162.0,普通本科
广东,物理类,本科批,10022,北京林业大学,237,237_001,北京林业大学组237,2,6000,586.0,38482.0,普通本科
广东,物理类,本科批,10022,北京林业大学,238,238_001,北京林业大学组238,7,6000,595.0,30729.0,普通本科
广东,物理类,本科批,10026,北京中医药大学,211,211_001,北京中医药大学组211,4,6000,597.0,28849.0,普通本科
广东,物理类,本科批,10026,北京中医药大学,214,214_001,北京中医药大学组214,30,6000,602.0,24867.0,普通本科
广东,物理类,本科批,10027,北京师范大学,213,213_001,北京师范大学组213,8,6000,639.0,6364.0,985
广东,物理类,本科批,10027,北京师范大学,215,215_001,北京师范大学组215,25,6000,645.0,4899.0,985
广东,物理类,本科批,10028,首都师范大学,210,210_001,首都师范大学组210,2,6000,599.0,27545.0,普通本科
广东,物理类,本科批,10028,首都师范大学,211,211_001,首都师范大学组211,2,6000,611.0,18891.0,普通本科
广东,物理类,本科批,10028,首都师范大学,212,212_001,首都师范大学组212,8,6000,599.0,27762.0,普通本科
广东,物理类,本科批,10028,首都师范大学,213,213_001,首都师范大学组213,5,6000,594.0,31598.0,普通本科
广东,物理类,本科批,10029,首都体育学院,205,205_001,首都体育学院组205,4,6000,554.0,75816.0,普通本科
广东,物理类,本科批,10030,北京外国语大学,214,214_001,北京外国语大学组214,16,6000,606.0,22604.0,普通本科
广东,物理类,本科批,10030,北京外国语大学,216,216_001,北京外国语大学组216,3,6000,619.0,14755.0,普通本科
广东,物理类,本科批,10030,北京外国语大学,217,217_001,北京外国语大学组217,1,6000,615.0,16825.0,普通本科
广东,物理类,本科批,10030,北京外国语大学(中外合作办学),218,218_001,北京外国语大学(中外合作办学)组218,2,6000,591.0,33701.0,普通本科
广东,物理类,本科批,10032,北京语言大学,215,215_001,北京语言大学组215,23,6000,571.0,54292.0,普通本科
广东,物理类,本科批,10032,北京语言大学(中外合作办学),216,216_001,北京语言大学(中外合作办学)组216,10,6000,521.0,127733.0,普通本科
广东,物理类,本科批,10032,北京语言大学,217,217_001,北京语言大学组217,21,6000,581.0,43421.0,普通本科
广东,物理类,本科批,10033,中国传媒大学,211,211_001,中国传媒大学组211,18,6000,599.0,27457.0,211
广东,物理类,本科批,10033,中国传媒大学(中外合作办学),212,212_001,中国传媒大学(中外合作办学)组212,5,6000,588.0,36181.0,211
广东,物理类,本科批,10033,中国传媒大学,213,213_001,中国传媒大学组213,29,6000,609.0,20328.0,211
广东,物理类,本科批,10033,中国传媒大学(中外合作办学),214,214_001,中国传媒大学(中外合作办学)组214,0,6000,586.0,38197.0,211
广东,物理类,本科批,10033,中国传媒大学,216,216_001,中国传媒大学组216,4,6000,615.0,16791.0,211
广东,物理类,本科批,10033,中国传媒大学,217,217_001,中国传媒大学组217,2,6000,612.0,18595.0,211
广东,物理类,本科批,10034,中央财经大学,208,208_001,中央财经大学组208,63,6000,618.0,15294.0,211
广东,物理类,本科批,10034,中央财经大学(中外合作办学),209,209_001,中央财经大学(中外合作办学)组209,8,6000,608.0,21279.0,211
广东,物理类,本科批,10036,对外经济贸易大学,208,208_001,对外经济贸易大学组208,39,6000,615.0,16918.0,211
广东,物理类,本科批,10036,对外经济贸易大学,209,209_001,对外经济贸易大学组209,8,6000,617.0,15626.0,211
广东,物理类,本科批,10036,对外经济贸易大学(中外合作办学),210,210_001,对外经济贸易大学(中外合作办学)组210,11,6000,606.0,22498.0,211
广东,物理类,本科批,10037,教北京物资学院(中外合作办学),205,205_001,教北京物资学院(中外合作办学)组205,2,6000,537.0,100622.0,普通本科
广东,物理类,本科批,10037,北京物资学院,206,206_001,北京物资学院组206,3,6000,550.0,81321.0,普通本科
广东,物理类,本科批,10038,首都经济贸易大学,205,205_001,首都经济贸易大学组205,3,6000,581.0,43252.0,普通本科
广东,物理类,本科批,10038,首都经济贸易大学,206,206_001,首都经济贸易大学组206,3,6000,587.0,37413.0,普通本科
广东,物理类,本科批,10041,省中国人民公安大学,202,202_001,省中国人民公安大学组202,4,6000,613.0,17766.0,985
广东,物理类,本科批,10043,北京体育大学,218,218_001,北京体育大学组218,2,6000,596.0,29743.0,普通本科
广东,物理类,本科批,10043,北京体育大学,219,219_001,北京体育大学组219,3,6000,592.0,32654.0,普通本科
广东,物理类,本科批,10043,北京体育大学(中外合作办学),220,220_001,北京体育大学(中外合作办学)组220,7,6000,541.0,95225.0,普通本科
广东,物理类,本科批,10043,东北京体育大学,221,221_001,东北京体育大学组221,1,6000,593.0,32588.0,985
广东,物理类,本科批,10043,北京体育大学,222,222_001,北京体育大学组222,2,6000,595.0,30261.0,普通本科
广东,物理类,本科批,10046,中国音乐学院,204,204_001,中国音乐学院组204,1,6000,580.0,43927.0,普通本科
广东,物理类,本科批,10047,中央美术学院,208,208_001,中央美术学院组208,3,6000,586.0,38478.0,普通本科
广东,物理类,本科批,10047,广中央美术学院(中外合作办学),209,209_001,广中央美术学院(中外合作办学)组209,4,6000,582.0,42660.0,普通本科
广东,物理类,本科批,10047,中央美术学院,210,210_001,中央美术学院组210,3,6000,608.0,20851.0,普通本科
广东,物理类,本科批,10050,北京电影学院,211,211_001,北京电影学院组211,2,6000,594.0,31130.0,普通本科
广东,物理类,本科批,10050,北京电影学院,212,212_001,北京电影学院组212,2,6000,604.0,23427.0,普通本科
广东,物理类,本科批,10050,北京电影学院,213,213_001,北京电影学院组213,2,6000,605.0,23231.0,普通本科
广东,物理类,本科批,10050,北京电影学院,214,214_001,北京电影学院组214,3,6000,594.0,31632.0,普通本科
广东,物理类,本科批,10050,北京电影学院,215,215_001,北京电影学院组215,2,6000,605.0,22986.0,普通本科
广东,物理类,本科批,10052,中央民族大学,220,220_001,中央民族大学组220,19,6000,604.0,23707.0,985
广东,物理类,本科批,10052,中央民族大学,222,222_001,中央民族大学组222,41,6000,608.0,20962.0,985
广东,物理类,本科批,10052,中央民族大学(内地澳门合作办学),224,224_001,中央民族大学(内地澳门合作办学)组224,8,6000,602.0,25473.0,985
广东,物理类,本科批,10053,中国政法大学,208,208_001,中国政法大学组208,42,6000,616.0,16327.0,211
广东,物理类,本科批,10054,华北电力大学(北京),207,207_001,华北电力大学(北京)组207,12,6000,595.0,30358.0,普通本科
广东,物理类,本科批,10054,华北电力大学(北京),208,208_001,华北电力大学(北京)组208,90,6000,610.0,19698.0,普通本科
广东,物理类,本科批,10055,南开大学,205,205_001,南开大学组205,8,6000,644.0,5048.0,985
广东,物理类,本科批,10055,南开大学,206,206_001,南开大学组206,61,6000,647.0,4394.0,985
广东,物理类,本科批,10056,天津大学,203,203_001,天津大学组203,38,6000,632.0,8868.0,985
广东,物理类,本科批,10056,天津大学,204,204_001,天津大学组204,47,6000,636.0,7609.0,985
广东,物理类,本科批,10057,天津科技大学,210,210_001,天津科技大学组210,4,6000,548.0,84360.0,985
广东,物理类,本科批,10057,天津科技大学(中外合作办学),211,211_001,天津科技大学(中外合作办学)组211,3,6000,534.0,106156.0,985
广东,物理类,本科批,10057,天津科技大学,212,212_001,天津科技大学组212,44,6000,542.0,93102.0,985
广东,物理类,本科批,10057,天津科技大学(中外合作办学),213,213_001,天津科技大学(中外合作办学)组213,3,6000,557.0,71430.0,985
广东,物理类,本科批,10058,天津工业大学,213,213_001,天津工业大学组213,4,6000,566.0,60491.0,985
广东,物理类,本科批,10058,天津工业大学,214,214_001,天津工业大学组214,16,6000,562.0,64539.0,985
广东,物理类,本科批,10058,天津工业大学,215,215_001,天津工业大学组215,47,6000,573.0,51643.0,985
广东,物理类,本科批,10058,天津工业大学(中外合作办学),220,220_001,天津工业大学(中外合作办学)组220,6,6000,577.0,47852.0,985
广东,物理类,本科批,10059,中国民航大学,213,213_001,中国民航大学组213,168,6000,568.0,57974.0,普通本科
广东,物理类,本科批,10060,天津理工大学,205,205_001,天津理工大学组205,16,6000,536.0,101615.0,985
广东,物理类,本科批,10060,天津理工大学(中外合作办学),206,206_001,天津理工大学(中外合作办学)组206,2,6000,534.0,105706.0,985
广东,物理类,本科批,10060,天津理工大学,208,208_001,天津理工大学组208,22,6000,562.0,64911.0,985
广东,物理类,本科批,10060,天津理工大学,209,209_001,天津理工大学组209,26,6000,556.0,73281.0,985
广东,物理类,本科批,10060,天津理工大学,210,210_001,天津理工大学组210,24,6000,543.0,91204.0,985
广东,物理类,本科批,10060,天津理工大学(中外合作办学),211,211_001,天津理工大学(中外合作办学)组211,0,6000,556.0,72806.0,985
广东,物理类,本科批,10061,天津农学院,205,205_001,天津农学院组205,1,6000,507.0,152857.0,985
广东,物理类,本科批,10061,天津农学院,206,206_001,天津农学院组206,11,6000,499.0,167340.0,985
广东,物理类,本科批,10061,天津农学院,207,207_001,天津农学院组207,22,6000,495.0,173475.0,985
广东,物理类,本科批,10061,天津农学院,208,208_001,天津农学院组208,2,6000,525.0,120054.0,985
广东,物理类,本科批,10062,天津医科大学,202,202_001,天津医科大学组202,6,6000,592.0,33081.0,985
广东,物理类,本科批,10063,天津中医药大学,207,207_001,天津中医药大学组207,4,6000,551.0,80308.0,985
广东,物理类,本科批,10063,天津中医药大学,208,208_001,天津中医药大学组208,11,6000,569.0,55760.0,985
广东,物理类,本科批,10063,教天津中医药大学,209,209_001,教天津中医药大学组209,7,6000,556.0,72642.0,985
广东,物理类,本科批,10063,天津中医药大学,210,210_001,天津中医药大学组210,5,6000,545.0,87882.0,985
广东,物理类,本科批,10063,天津中医药大学,211,211_001,天津中医药大学组211,15,6000,530.0,112069.0,985
广东,物理类,本科批,10065,天津师范大学,218,218_001,天津师范大学组218,4,6000,552.0,78300.0,985
广东,物理类,本科批,10065,省天津师范大学,219,219_001,省天津师范大学组219,9,6000,546.0,87279.0,985
广东,物理类,本科批,10065,天津师范大学,220,220_001,天津师范大学组220,1,6000,580.0,44016.0,985
广东,物理类,本科批,10065,天津师范大学,221,221_001,天津师范大学组221,4,6000,554.0,75850.0,985
广东,物理类,本科批,10065,天津师范大学,222,222_001,天津师范大学组222,1,6000,582.0,42521.0,985
广东,物理类,本科批,10065,东天津师范大学,223,223_001,东天津师范大学组223,12,6000,554.0,74786.0,985
广东,物理类,本科批,10065,天津师范大学,224,224_001,天津师范大学组224,2,6000,567.0,58947.0,985
广东,物理类,本科批,10065,天津师范大学,225,225_001,天津师范大学组225,9,6000,555.0,74597.0,985
